"EWA","Token"
"0x0b4Ab54DfF0F4fE366dD2c02b0F5bb7c596C8B8E","2"
"0x36990aa45A02FF898f6d382dd2B0b76BAF63fC30","2000000000000000000"
"0xA45F46a8FC98E1cDaf7F76F2d7906E60761D2A3C","2"
